transaction_id,transaction_timestamp,user_id,user_email,item_code,item_description,item_category,qty,price,gross_total,promo_code,delivery_fee,delivery_status,payment_type,device_type,app_version,region,currency_code
APP05313,1734908400,U69674,danieldyer@hotmail.com,M037,Vacuum Cleaner Cordless,Home,1,104.57,104.57,,7.34,pend,In-App Wallet,Android,2.4.0,United States,USD
APP18358,2023-11-26T00:00:00,U20269,KEITH.LOWE@GMAIL.COM,MOB-PROD-009,Smart Watch Fitness Tracker,Electronics,1,295.22,295.22,,4.49,Dlv,PayPal,android,2.4.0,United States,USD
APP06429,2024-02-11T00:00:00,U96198,bonnie.stokes@gmail.com,APP-022,Sunglasses Polarized,apparel,4,37.73,150.92,,4.48,RET,Apple Pay,android,2.2.0,United Kingdom,GBP
APP15415,2023-06-27 00:00:00,U77028,juanmartin@gmail.com,MOB-PROD-047,Dumbbell Set Adjustable,Outdoors,1,98.53,88.86,,9.24,pend,Card,android,2.4.0,United States,usd
APP10611,2023-09-06 00:00:00,U57819,aaron.lucas@gmail.com,MOB-PROD-002,Smartphone Case Premium,technology,1,26.26,26.26,,8.48,Dlv,In-App Wallet,iOS,2.3.1,United States,USD
APP03048,1675378800,U79372,Diane.banks@yahoo.com,APP_033,Non-Stick Cookware Set,Home,1,139.69,139.69,save10,6.09,dlv,In-App Wallet,ios,2.4.0,United States,USD
APP19439,2023-11-29T00:00:00,U15447,DANIEL.ROSS@YAHOO.COM,APP-008,Portable Power Bank 20000mAh,Electronics,2,34.72,69.44,,11.16,CANC,PayPal,android,2.3.1,United Kingdom,GBP
APP19205,2024-02-18 00:00:00,U88609,LINDSEY.VILLA@YAHOO.COM,MOB-PROD-072,Hair Dryer Ionic,personal_care,1,34.93,34.93,,5.21,PEND,In-App Wallet,ANDROID,2.4.0,United States,usd
APP23347,2024-07-31T00:00:00,U48345,William.roberts@hotmail.com,M058,Tennis Racket Beginner,Sport,1,112.92,112.92,,3.24,SHIP,Card,iOS,2.5.2,United States,USD
APP15702,2024-11-05T00:00:00,U17190,yolanda.murray@gmail.com,M074,Makeup Brush Set 12-Piece,Beauty,1,47.03,47.03,,9.71,PROC,In-App Wallet,Android,2.3.1,Germany,EUR
