order_id,order_date,customer_email,customer_name,product_id,product_name,category,quantity,unit_price,total_amount,discount,shipping_cost,order_status,payment_method,shipping_address,country,currency
WEB12055,2023/10/15,SHELBY.DAVIS@HOTMAIL.COM,Shelby Davis,prod-034,Bedding Set Queen Size,Home & Kitchen,1,87.1,95.82,0.0,8.72,Completed,Credit Card,56958 Craig Rapids Suite 451,United States,USD
WEB06402,12/21/2023,marygutierrez@hotmail.com,Mary Gutierrez,PROD080,Massage Oil Set,Beauty,3,27.73,80.37,11.67,8.85,Completed,Google Pay,1112 Jessica Ports,United States,USD
WEB30750,05.03.2024,JULIE.DUNCAN@GMAIL.COM,Julie Duncan,prod-019,Leather Wallet Bifold,Fashion,1,68.8,74.91,10.89,9.64,Cancelled,PayPal,65153 John Roads Suite 026,United Kingdom,GBP
WEB26475,16-Nov-2023,brandonmurray@yahoo.com,Brandon Murray,prod-031,Stainless Steel Water Bottle,Home & Kitchen,3,20.72,69.45,0.0,7.29,completed,Credit Card,0006 Davidson Ramp,France,EUR
WEB15809,2023/08/02,joseph.savage@yahoo.com,,PROD065,Cookbook Healthy Recipes,Books,1,34.26,40.34,0.0,6.08,Completed,Google Pay,7196 Berry Row,Germany,EUR
WEB20856,2023/08/01,robert.sanchez@yahoo.com,Robert Sanchez,P027,Hoodie Pullover,Fashion,1,58.48,59.97,3.68,5.17,Cancelled,Google Pay,780 Smith Flat,United States,USD
WEB32128,13.04.2024,Mary.matthews@gmail.com,Mary Matthews,P043,Area Rug 5x7,Home & Kitchen,1,56.19,62.76,0.0,6.57,Pending,Debit Card,76717 Hoffman Pines,France,EUR
WEB06803,06/09/2024,jon.caldwell@gmail.com,Jon Caldwell,PROD-034,Bedding Set Queen Size,Home & Kitchen,1,-47.44,-39.06,0.0,8.38,pending,PayPal,8108 Nathaniel Canyon Apt. 745,United States,USD
WEB28342,12/22/2023,Phillip.garza@gmail.com,Phillip Garza,PROD009,Smart Watch Fitness Tracker,Electronics,1,252.53,264.07,0.0,11.54,Complete,PayPal,5003 Amber Locks Apt. 819,United States,USD
WEB14638,08-Jan-2023,JAMIE.GOMEZ@HOTMAIL.COM,Jamie Gomez,P080,Massage Oil Set,Beauty,1,28.82,36.92,0.0,8.1,Shipped,Apple Pay,59004 Emily Plains Apt. 520,Germany,EUR
WEB00349,2023-10-31,alan.solomon@gmail.com,Alan Solomon,prod-074,Makeup Brush Set 12-Piece,Beauty,1,23.5,29.85,4.68,11.03,Canceled,Apple Pay,201 Wendy Points,United States,USD
WEB05104,16-Oct-2023,kylepope@yahoo.com,Kyle Pope,P004,Laptop Sleeve 15 inch,Electronics,5,33.09,170.79,0.0,5.34,Delivered,Google Pay,49496 Reed Loop,United States,USD
WEB15182,09/08/2023,kathryn.williams@gmail.com,Kathryn Williams,prod-006,Mechanical Keyboard,Electronics,1,161.05,170.19,0.0,9.14,Pending,PayPal,581 Kristine Hill,United States,$
WEB29847,28.12.2024,rhondaking@hotmail.com,Rhonda King,PROD-005,Wireless Mouse,Electronics,2,18.74,46.46,0.0,8.98,Cancelled,Apple Pay,3270 David Passage Suite 366,United States,USD
WEB04080,05/18/2024,JESSE.MANN@GMAIL.COM,Jesse Mann,prod-030,Watch Analog Classic,Fashion,1,298.09,309.82,0.0,11.73,Complete,Apple Pay,750 Jennifer Courts,United States,USD
WEB27382,05/11/2024,erika.perez@yahoo.com,Erika Perez,prod-070,Science Fiction Trilogy,Books,1,33.9,42.38,0.0,8.48,Completed,PayPal,98822 John Turnpike Apt. 686,United States,USD
WEB15817,30.09.2023,james.roberts@hotmail.com,James Roberts,P008,Portable Power Bank 20000mAh,Electronics,4,42.07,157.5,23.99,13.21,Cancelled,PayPal,62666 Victoria Trail,United Kingdom,GBP
WEB31707,08-Aug-2024,Larry.neal@hotmail.com,Larry Neal,prod-027,Hoodie Pullover,Fashion,2,68.09,150.41,0.0,14.23,shipped,Debit Card,0792 Delacruz Road Apt. 718,United States,USD
WEB19999,2023-10-19,angelaryan@gmail.com,Angela Ryan,prod-065,Cookbook Healthy Recipes,Books,2,34.58,75.49,0.0,6.33,CANCELLED,Apple Pay,0286 Jonathan Cliffs,United States,USD
WEB19273,2024-03-21,CALVIN.BLACK@HOTMAIL.COM,Calvin Black,P068,Children's Book Set,Books,3,28.12,93.93,0.0,12.87,Completed,Debit Card,10933 Roy Mount Apt. 896,United States,USD
WEB22421,2023/05/27,gloriakim@gmail.com,Gloria Kim,P069,Business Strategy Guide,Books,1,38.61,45.71,5.06,12.16,completed,PayPal,990 Haynes Track Apt. 023,France,EUR
WEB16116,2023-07-27,stephendavis@hotmail.com,Stephen Davis,PROD-047,Dumbbell Set Adjustable,Sports,3,140.44,433.78,0.0,12.46,Completed,Apple Pay,5391 Holmes Lodge,United Kingdom,GBP
WEB23933,19-Oct-2023,aaron.ochoa@gmail.com,Aaron Ochoa,PROD-038,Air Fryer 5-Quart,Home & Kitchen,1,91.78,92.85,5.33,6.4,Completed,Credit Card,271 William Loop Apt. 714,United States,USD
WEB28119,28-Jan-2023,Kelsey.clay@hotmail.com,Kelsey Clay,PROD-054,Fitness Tracker Band,Sports,2,57.56,123.51,0.0,8.39,SHIPPED,Apple Pay,7465 Michael Fields,United States,USD
WEB02126,2024-11-07,lee.charles@hotmail.com,Lee Charles,PROD027,Hoodie Pullover,Fashion,5,27.66,153.02,0.0,14.72,Success,Google Pay,8879 Peterson Ports Apt. 006,United States,USD
WEB00677,02-Nov-2023,brian.reed@hotmail.com,Brian Reed,P056,Basketball Official Size,Sports,3,41.28,133.88,0.0,10.04,PENDING,Credit Card,75840 Perez Track Apt. 886,United Kingdom,GBP
WEB01772,02/13/2023,beth.watkins@hotmail.com,Beth Watkins,prod-033,Non-Stick Cookware Set,Home & Kitchen,2,-116.33,-227.52,0.0,5.14,Completed,Credit Card,3799 Jennifer Shoals,United States,USD
WEB16305,12/20/2024,keith.flores@yahoo.com,Keith Flores,PROD-027,Hoodie Pullover,Fashion,2,28.62,56.71,6.9,6.37,SUCCESS,Apple Pay,2663 Kaufman Trafficway Apt. 702,United States,USD
WEB13216,2024-09-30,EMILY.DUNCAN@YAHOO.COM,Emily Duncan,P038,Air Fryer 5-Quart,Home & Kitchen,1,164.56,175.7,0.0,11.14,Returned,PayPal,534 Anderson Track Apt. 781,Germany,eur
WEB07160,17.03.2024,carolinecervantes@hotmail.com,Caroline Cervantes,PROD-023,Baseball Cap Adjustable,Fashion,1,15.61,22.0,0.0,6.39,Shipped,Debit Card,7209 Connie Roads Apt. 397,United States,USD
WEB17209,12/09/2024,connor.anderson@yahoo.com,Connor Anderson,P080,Massage Oil Set,Beauty,1,47.05,58.16,0.0,11.11,CANCELLED,Apple Pay,7095 Hill Mountain,United Kingdom,GBP
WEB05583,18-Feb-2024,lisacolon@gmail.com,Lisa Colon,prod-076,Shampoo Sulfate-Free,Beauty,1,30.39,41.15,0.0,10.76,Success,PayPal,790 Mary Mill,United States,USD
WEB23465,17-Nov-2023,ALYSSA.MATHEWS@HOTMAIL.COM,Alyssa Mathews,PROD-026,Sneakers Casual,Fashion,1,100.62,109.01,0.0,8.39,Shipped,Credit Card,650 Ashley Mission,France,EUR
WEB02366,25.08.2024,Nicholas.ross@gmail.com,Nicholas Ross,PROD019,Leather Wallet Bifold,Fashion,1,58.98,73.06,0.0,14.08,Cancelled,PayPal,58000 Lee Pine Apt. 098,United States,USD
